,ABC,BA,BBO,DO,FOX,GA,GWO,IFOX,LSHADE,PSO
ABC,,9.3132e-10,2.7767e-02,4.6566e-09,5.1223e-08,7.0163e-01,8.8914e-02,1.1149e-01,9.9986e-01,2.9793e-01
BA,,,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00,1.0000e+00
BBO,,,,7.0967e-07,3.6261e-05,8.9663e-01,2.9066e-01,5.0454e-01,9.9947e-01,8.6566e-01
DO,,,,,9.7514e-01,1.0000e+00,1.0000e+00,9.9999e-01,1.0000e+00,1.0000e+00
FOX,,,,,,1.0000e+00,9.9994e-01,9.9995e-01,1.0000e+00,1.0000e+00
GA,,,,,,,7.4946e-02,7.8385e-02,9.9409e-01,2.2303e-01
GWO,,,,,,,,5.5732e-01,9.9976e-01,7.8283e-01
IFOX,,,,,,,,,9.9967e-01,7.5319e-01
LSHADE,,,,,,,,,,2.4468e-03
PSO,,,,,,,,,,
